era,rank,token,tfidf_score
1970s,1,love,0.03396281059919877
1970s,2,oh,0.023225273544498045
1970s,3,ll,0.018694177683977433
1970s,4,don,0.018387038341308667
1970s,5,baby,0.018287971575075054
1970s,6,know,0.018109766143593466
1970s,7,ve,0.017015380830450573
1970s,8,just,0.016926210842603026
1970s,9,time,0.014808628251612594
1970s,10,got,0.014571136052031019
1970s,11,come,0.013603827224961482
1970s,12,way,0.012663434429311709
1970s,13,like,0.01252478007963514
1970s,14,yeah,0.012464411160721754
1970s,15,man,0.012261846108110399
1970s,16,gonna,0.011946235748519498
1970s,17,let,0.011760310904062215
1970s,18,away,0.011367813445072606
1970s,19,day,0.011295531213804832
1970s,20,night,0.01074729795636445
1970s,21,say,0.01069200771955123
1970s,22,good,0.010368528731977201
1970s,23,long,0.010075127285165363
1970s,24,life,0.009836137867625633
1970s,25,want,0.009681245664214641
1970s,26,make,0.009679819459541307
1970s,27,home,0.009448834166988412
1970s,28,little,0.009388113425245655
1970s,29,tell,0.00908014999705524
1970s,30,said,0.00879092548084344
1970s,31,right,0.00877898126929415
1970s,32,old,0.008564392745096416
1970s,33,world,0.008506550113964787
1970s,34,ooh,0.008402160846250178
1970s,35,feel,0.008280232650919137
1970s,36,hey,0.008138519948899815
1970s,37,heart,0.00813775706114757
1970s,38,woman,0.008132220760082909
1970s,39,yes,0.0078968104084734
1970s,40,cause,0.007687010563512304
1970s,41,girl,0.007650119889444321
1970s,42,need,0.007603302279815733
1970s,43,won,0.007429750982015877
1970s,44,mind,0.007345437274257155
1970s,45,gone,0.0073167997109888925
1970s,46,eyes,0.007285390089574836
1970s,47,ve got,0.0072800145473274356
1970s,48,think,0.007116289705629645
1970s,49,sweet,0.006994549742184073
1970s,50,lord,0.006904823878736101
1970s,51,la,0.006864493853156789
1970s,52,people,0.006755797010436178
1970s,53,ain,0.006733558112151338
1970s,54,things,0.006647448561041047
1970s,55,love love,0.006551280757706547
1970s,56,song,0.006417787373444391
1970s,57,look,0.006342361677318338
1970s,58,sun,0.006315714902213036
1970s,59,hear,0.006141880754645634
1970s,60,going,0.005986598976628021
1970s,61,sing,0.005967922768799327
1970s,62,la la,0.005967549015391318
1970s,63,morning,0.005828324444613582
1970s,64,oh oh,0.005545002983325214
1970s,65,really,0.005465706879377897
1970s,66,don know,0.005415578708125117
1970s,67,hand,0.005407625214609091
1970s,68,try,0.005362690957882422
1970s,69,believe,0.005360094520806133
1970s,70,lonely,0.0053204766322116894
1970s,71,live,0.005319337215126343
1970s,72,thing,0.005281775608889828
1970s,73,light,0.005279759714515771
1970s,74,did,0.0052669283075003175
1970s,75,lady,0.005253394410253674
1970s,76,free,0.005230322308114301
1970s,77,wanna,0.005181141833196777
1970s,78,hold,0.005120532321614169
1970s,79,leave,0.005071711068632586
1970s,80,new,0.00501238939070012
1970s,81,yeah yeah,0.004969847633617789
1970s,82,ah,0.004956063752725274
1970s,83,friend,0.004889908365142753
1970s,84,true,0.004823880256530292
1970s,85,place,0.0048055925173237975
1970s,86,better,0.00471630528099671
1970s,87,left,0.0047081823235422485
1970s,88,stay,0.004694858744013797
1970s,89,dream,0.004691640471669471
1970s,90,wrong,0.004660783254596054
1970s,91,blue,0.004631782570002812
1970s,92,tonight,0.004624501906872018
1970s,93,hard,0.004530204946327499
1970s,94,rain,0.0045059782303619
1970s,95,turn,0.0044997201416969
1970s,96,music,0.004424401489404491
1970s,97,dance,0.004394511606701246
